feature,importance
follicle_total,1.5403040226424733
weight_gain_y_n,0.6409143343567848
hair_growth_y_n,0.6295732181767623
follicle_no_r,0.5976938184568038
skin_darkening_y_n,0.5117197649677595
cycle_r_i,0.4029564057538907
amh_ng_ml,0.38915581821464
cycle_length_days,0.2936720048139493
age_yrs,0.25534984828787854
lh_miu_ml,0.24650379277804557
rbs_mg_dl,0.24555329581645008
fast_food_y_n,0.23994855756560962
tsh_miu_l,0.20664286932054285
lh_fsh_ratio,0.15712288612189393
endometrium_mm,0.15174868572270497
follicle_no_l,0.1286021416351044
waist_inch,0.1122890051958772
bmi,0.1016759853841116
weight_kg,0.08897121750206376
hip_inch,0.07789141290045033
